Time[s],xPosition2[px],yPosition2[px]
47.6330105,0,0
47.6749041,0,0
47.7167977,0,0
47.7586912,0,0
47.8005848,0,0
47.8424784,0,0
47.884372,0,0
47.9262656,0,0
47.9681592,0,0
48.0100528,0,0
48.0519464,0,0
48.09384,0,0
48.1357335,0,0
48.1776271,0,0
48.2195207,0,0
48.2614143,0,0
48.3033079,0,0
48.3452015,0,0
48.3870951,0,0
48.4289887,0,0
48.4708823,0,0
48.5127758,0,0
48.5546694,0,0
48.596563,0,0
48.6384566,0,0
48.6803502,0,0
48.7222438,0,0
48.7641374,0,0
48.806031,0,0
48.8479245,0,0
48.8898181,0,0
48.9317117,0,0
48.9736053,0,0
49.0154989,0,0
49.0573925,0,0
49.0992861,0,0
49.1411797,0,0
49.1830733,0,0
49.2249668,0,0
49.2668604,0,0
49.308754,0,0
49.3506476,0,0
49.3925412,0,0
49.4344348,0,0
49.4763284,0,0
49.518222,0,0
49.5601156,0,0
49.6020091,0,0
49.6439027,0,0
49.6857963,0,0
49.7276899,0,0
49.7695835,0,0
49.8114771,0,0
49.8533707,0,0
49.8952643,0,0
49.9371579,0,0
49.9790514,0,0
50.020945,0,0
50.0628386,0,0
50.1047322,0,0
50.1466258,0,0
50.1885194,0,0
50.230413,0,0
50.2723066,0,0
50.3142002,0,0
50.3560937,0,0
50.3979873,0,0
50.4398809,0,0
50.4817745,0,0
50.5236681,0,0
50.5655617,0,0
50.6074553,0,0
50.6493489,0,0
50.6912425,0,0
50.733136,0,0
50.7750296,0,0
50.8169232,0,0
50.8588168,0,0
50.9007104,0,0
50.942604,0,0
50.9844976,0,0
51.0263912,0,0
51.0682848,0,0
51.1101783,0,0
51.1520719,0,0
51.1939655,0,0
51.2358591,0,0
51.2777527,0,0
51.3196463,0,0
51.3615399,0,0
51.4034335,0,0
51.4453271,0,0
51.4872206,0,0
51.5291142,0,0
51.5710078,0,0
51.6129014,0,0
51.654795,0,0
51.6966886,0,0
51.7385822,0,0
51.7804758,0,0
51.8223694,0,0
51.8642629,0,0
51.9061565,0,0
51.9480501,0,0
51.9899437,0,0
52.0318373,0,0
52.0737309,0,0
52.1156245,0,0
52.1575181,0,0
52.1994117,0,0
52.2413052,0,0
52.2831988,0,0
52.3250924,0,0
52.366986,0,0
52.4088796,0,0
52.4507732,0,0
52.4926668,0,0
52.5345604,0,0
52.576454,0,0
52.6183475,0,0
52.6602411,0,0
52.7021347,0,0
52.7440283,0,0
52.7859219,0,0
52.8278155,0,0
52.8697091,0,0
52.9116027,0,0
52.9534963,0,0
52.9953898,0,0
53.0372834,0,0
53.079177,0,0
53.1210706,0,0
53.1629642,0,0
53.2048578,0,0
53.2467514,0,0
53.288645,0,0
53.3305386,0,0
53.3724321,0,0
53.4143257,0,0
53.4562193,0,0
53.4981129,0,0
53.5400065,0,0
53.5819001,0,0
53.6237937,0,0
53.6656873,0,0
53.7075809,0,0
53.7494744,0,0
53.791368,0,0
53.8332616,0,0
53.8751552,0,0
53.9170488,0,0
53.9589424,0,0
54.000836,0,0
54.0427296,0,0
54.0846232,0,0
54.1265167,0,0
54.1684103,0,0
54.2103039,0,0
54.2521975,0,0
54.2940911,0,0
54.3359847,0,0
54.3778783,0,0
54.4197719,0,0
54.4616655,0,0
54.503559,0,0
54.5454526,0,0
54.5873462,0,0
54.6292398,0,0
54.6711334,0,0
54.713027,0,0
54.7549206,0,0
54.7968142,0,0
54.8387077,0,0
54.8806013,0,0
54.9224949,0,0
54.9643885,0,0
55.0062821,0,0
55.0481757,0,0
55.0900693,0,0
55.1319629,0,0
55.1738565,0,0
55.21575,0,0
55.2576436,0,0
55.2995372,0,0
55.3414308,0,0
55.3833244,0,0
55.425218,0,0
55.4671116,0,0
55.5090052,0,0
55.5508988,0,0
55.5927923,0,0
55.6346859,0,0
55.6765795,0,0
55.7184731,0,0
55.7603667,0,0
55.8022603,0,0
55.8441539,0,0
55.8860475,0,0
55.9279411,0,0
55.9698346,0,0
56.0117282,0,0
56.0536218,0,0
56.0955154,0,0
56.137409,0,0
56.1793026,0,0
56.2211962,0,0
56.2630898,0,0
56.3049834,0,0
56.3468769,0,0
56.3887705,0,0
56.4306641,0,0
56.4725577,0,0
56.5144513,0,0
56.5563449,0,0
56.5982385,0,0
56.6401321,0,0
56.6820257,0,0
56.7239192,0,0
56.7658128,0,0
56.8077064,0,0
56.8496,0,0
56.8914936,0,0
56.9333872,0,0
56.9752808,0,0
57.0171744,0,0
57.059068,0,0
57.1009615,0,0
57.1428551,0,0
57.1847487,0,0
57.2266423,0,0
57.2685359,0,0
57.3104295,0,0
57.3523231,0,0
57.3942167,0,0
57.4361103,0,0
57.4780038,0,0
57.5198974,0,0
57.561791,0,0
57.6036846,0,0
57.6455782,0,0
57.6874718,0,0
57.7293654,0,0
57.771259,0,0
57.8131526,0,0
57.8550461,0,0
57.8969397,0,0
57.9388333,0,0
57.9807269,0,0
58.0226205,0,0
58.0645141,0,0
58.1064077,0,0
58.1483013,0,0
58.1901949,0,0
58.2320884,0,0
58.273982,0,0
58.3158756,0,0
58.3577692,0,0
58.3996628,0,0
58.4415564,0,0
58.48345,0,0
58.5253436,0,0
58.5672372,0,0
58.6091307,0,0
58.6510243,0,0
58.6929179,0,0
58.7348115,0,0
58.7767051,0,0
58.8185987,0,0
58.8604923,0,0
58.9023859,0,0
58.9442795,0,0
58.986173,0,0
59.0280666,0,0
59.0699602,0,0
59.1118538,0,0
59.1537474,0,0
59.195641,0,0
59.2375346,0,0
59.2794282,0,0
59.3213218,0,0
59.3632153,0,0
59.4051089,0,0
59.4470025,0,0
59.4888961,0,0
59.5307897,0,0
59.5726833,0,0
59.6145769,0,0
59.6564705,0,0
59.6983641,0,0
59.7402576,0,0
59.7821512,0,0
59.8240448,0,0
59.8659384,0,0
59.907832,0,0
59.9497256,0,0
59.9916192,0,0
60.0335128,0,0
60.0754064,0,0
60.1172999,0,0
60.1591935,0,0
60.2010871,0,0
60.2429807,0,0
60.2848743,0,0
60.3267679,0,0
60.3686615,0,0
60.4105551,0,0
60.4524486,0,0
60.4943422,0,0
60.5362358,0,0
60.5781294,0,0
60.620023,0,0
60.6619166,0,0
60.7038102,0,0
60.7457038,0,0
60.7875974,0,0
60.8294909,0,0
60.8713845,0,0
60.9132781,0,0
60.9551717,0,0
60.9970653,0,0
61.0389589,0,0
61.0808525,0,0
61.1227461,0,0
61.1646397,0,0
61.2065332,0,0
61.2484268,0,0
61.2903204,0,0
61.332214,0,0
61.3741076,0,0
61.4160012,0,0
61.4578948,0,0
61.4997884,0,0
61.541682,0,0
61.5835755,0,0
61.6254691,0,0
61.6673627,0,0
61.7092563,0,0
61.7511499,0,0
61.7930435,0,0
61.8349371,0,0
61.8768307,0,0
61.9187243,0,0
61.9606178,0,0
62.0025114,0,0
62.044405,0,0
62.0862986,0,0
62.1281922,0,0
62.1700858,0,0
62.2119794,0,0
62.253873,0,0
62.2957666,0,0
62.3376601,0,0
62.3795537,0,0
62.4214473,0,0
62.4633409,0,0
62.5052345,0,0
62.5471281,0,0
62.5890217,0,0
62.6309153,0,0
62.6728089,0,0
62.7147024,0,0
62.756596,0,0
62.7984896,0,0
62.8403832,0,0
62.8822768,0,0
62.9241704,0,0
62.966064,0,0
63.0079576,0,0
63.0498512,0,0
63.0917447,0,0
63.1336383,0,0
63.1755319,0,0
63.2174255,0,0
63.2593191,0,0
63.3012127,0,0
63.3431063,0,0
63.3849999,0,0
63.4268935,0,0
63.468787,0,0
63.5106806,0,0
63.5525742,0,0
63.5944678,0,0
63.6363614,0,0
63.678255,0,0
63.7201486,0,0
63.7620422,0,0
63.8039358,0,0
63.8458293,0,0
63.8877229,0,0
63.9296165,0,0
63.9715101,0,0
64.0134037,0,0
64.0552973,0,0
64.0971909,0,0
64.1390845,0,0
64.1809781,0,0
64.2228716,0,0
64.2647652,0,0
64.3066588,0,0
64.3485524,0,0
64.390446,0,0
64.4323396,0,0
64.4742332,0,0
64.5161268,0,0
64.5580204,0,0
64.5999139,0,0
64.6418075,0,0
64.6837011,0,0
64.7255947,0,0
64.7674883,0,0
64.8093819,0,0
64.8512755,0,0
64.8931691,0,0
64.9350627,0,0
64.9769562,0,0
65.0188498,0,0
65.0607434,0,0
65.102637,0,0
65.1445306,0,0
65.1864242,0,0
65.2283178,0,0
65.2702114,0,0
65.312105,0,0
65.3539985,0,0
65.3958921,0,0
65.4377857,0,0
65.4796793,0,0
65.5215729,0,0
65.5634665,0,0
65.6053601,0,0
65.6472537,0,0
65.6891473,0,0
65.7310408,0,0
65.7729344,0,0
65.814828,0,0
65.8567216,0,0
65.8986152,0,0
65.9405088,0,0
65.9824024,0,0
66.024296,0,0
66.0661895,0,0
66.1080831,0,0
66.1499767,0,0
66.1918703,0,0
66.2337639,0,0
66.2756575,0,0
66.3175511,0,0
66.3594447,0,0
66.4013383,0,0
66.4432318,0,0
66.4851254,0,0
66.527019,0,0
66.5689126,0,0
66.6108062,0,0
66.6526998,0,0
66.6945934,0,0
66.736487,0,0
66.7783806,0,0
66.8202741,0,0
66.8621677,0,0
66.9040613,0,0
66.9459549,0,0
66.9878485,0,0
67.0297421,0,0
67.0716357,0,0
67.1135293,0,0
67.1554229,0,0
67.1973164,0,0
67.23921,0,0
67.2811036,0,0
67.3229972,0,0
67.3648908,0,0
67.4067844,0,0
67.448678,0,0
67.4905716,0,0
67.5324652,0,0
67.5743587,0,0
67.6162523,0,0
67.6581459,0,0
67.7000395,0,0
67.7419331,0,0
67.7838267,0,0
67.8257203,0,0
67.8676139,0,0
67.9095075,0,0
67.951401,0,0
67.9932946,0,0
68.0351882,0,0
68.0770818,0,0
68.1189754,0,0
68.160869,0,0
68.2027626,0,0
68.2446562,0,0
68.2865498,0,0
68.3284433,0,0
68.3703369,0,0
68.4122305,0,0
68.4541241,0,0
68.4960177,0,0
68.5379113,0,0
68.5798049,0,0
68.6216985,0,0
68.6635921,0,0
68.7054856,0,0
68.7473792,0,0
68.7892728,0,0
68.8311664,0,0
68.87306,0,0
68.9149536,0,0
68.9568472,0,0
68.9987408,0,0
69.0406344,0,0
69.0825279,0,0
69.1244215,0,0
69.1663151,0,0
69.2082087,0,0
69.2501023,0,0
69.2919959,0,0
69.3338895,0,0
69.3757831,0,0
69.4176767,0,0
69.4595702,0,0
69.5014638,0,0
69.5433574,0,0
69.585251,0,0
69.6271446,0,0
69.6690382,0,0
69.7109318,0,0
69.7528254,0,0
69.794719,0,0
69.8366125,0,0
69.8785061,0,0
69.9203997,0,0
69.9622933,0,0
70.0041869,0,0
70.0460805,0,0
70.0879741,0,0
70.1298677,0,0
70.1717613,0,0
70.2136548,0,0
70.2555484,0,0
70.297442,0,0
70.3393356,0,0
70.3812292,0,0
70.4231228,0,0
70.4650164,0,0
70.50691,0,0
70.5488036,0,0
70.5906971,0,0
70.6325907,0,0
70.6744843,0,0
70.7163779,0,0
70.7582715,0,0
70.8001651,0,0
70.8420587,0,0
70.8839523,0,0
70.9258459,0,0
70.9677394,0,0
71.009633,0,0
71.0515266,0,0
71.0934202,0,0
71.1353138,0,0
71.1772074,0,0
71.219101,0,0
71.2609946,0,0
71.3028882,0,0
71.3447817,0,0
71.3866753,0,0
71.4285689,0,0
71.4704625,0,0
71.5123561,0,0
71.5542497,0,0
71.5961433,0,0
71.6380369,0,0
71.6799305,0,0
71.721824,0,0
71.7637176,0,0
71.8056112,0,0
71.8475048,0,0
71.8893984,0,0
71.931292,0,0
71.9731856,0,0
72.0150792,0,0
72.0569727,0,0
72.0988663,0,0
72.1407599,0,0
72.1826535,0,0
72.2245471,0,0
72.2664407,0,0
72.3083343,0,0
72.3502279,0,0
72.3921215,0,0
72.434015,0,0
72.4759086,0,0
72.5178022,0,0
72.5596958,0,0
72.6015894,0,0
72.643483,0,0
72.6853766,0,0
72.7272702,0,0
72.7691638,0,0
72.8110573,0,0
72.8529509,0,0
72.8948445,0,0
72.9367381,0,0
72.9786317,0,0
73.0205253,0,0
73.0624189,0,0
73.1043125,0,0
73.1462061,0,0
73.1880996,0,0
73.2299932,0,0
73.2718868,0,0
73.3137804,0,0
73.355674,0,0
73.3975676,0,0
73.4394612,0,0
73.4813548,0,0
73.5232484,0,0
73.5651419,0,0
73.6070355,0,0
73.6489291,0,0
73.6908227,0,0
73.7327163,0,0
73.7746099,0,0
73.8165035,0,0
73.8583971,0,0
73.9002907,0,0
73.9421842,0,0
73.9840778,0,0
74.0259714,0,0
74.067865,0,0
74.1097586,0,0
74.1516522,0,0
74.1935458,0,0
74.2354394,0,0
74.277333,0,0
74.3192265,0,0
74.3611201,0,0
74.4030137,0,0
74.4449073,0,0
74.4868009,0,0
